month,date,close,sma50,sma200,strong_trend,dist_to_sma50_pct,overheated,allocation_base,allocation_final
2024-02,2024-02-29,690.0,,,False,,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-03,2024-03-29,776.0,,,False,,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-04,2024-04-30,790.0,759.54,,False,4.01,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-05,2024-05-31,821.0,804.02,,False,2.11,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-06,2024-06-28,966.0,854.14,,False,13.1,True,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20% (downgrade: overheated)
2024-07,2024-07-31,934.0,939.22,,False,-0.56,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-08,2024-08-30,944.0,964.7,,False,-2.15,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-09,2024-09-30,957.0,943.62,,False,1.42,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-10,2024-10-30,1030.0,984.8,,False,4.59,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-11,2024-11-29,996.0,1025.74,,False,-2.9,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2024-12,2024-12-31,1075.0,1053.52,939.29,True,2.04,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-01,2025-01-22,1135.0,1067.22,963.965,True,6.35,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-02,2025-02-27,1040.0,1087.2,992.32,True,-4.34,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-03,2025-03-31,910.0,1044.66,1007.995,False,-12.89,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2025-04,2025-04-30,908.0,951.74,1003.15,False,-4.6,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2025-05,2025-05-29,967.0,926.36,999.795,False,4.39,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2025-06,2025-06-30,1060.0,975.68,1009.775,False,8.64,False,v1.1=80% / v1.5=20%,v1.1=80% / v1.5=20%
2025-07,2025-07-31,1160.0,1064.1,1029.355,True,9.01,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-08,2025-08-29,1160.0,1129.1,1041.62,True,2.74,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-09,2025-09-30,1305.0,1196.2,1063.64,True,9.1,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-10,2025-10-31,1500.0,1311.9,1101.14,True,14.34,True,v1.1=60% / v1.5=40%,v1.1=80% / v1.5=20% (downgrade: overheated)
2025-11,2025-11-28,1440.0,1416.9,1135.39,True,1.63,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2025-12,2025-12-31,1550.0,1462.2,1181.43,True,6.0,False,v1.1=60% / v1.5=40%,v1.1=60% / v1.5=40%
2026-01,2026-01-30,1775.0,1571.7,1265.39,True,12.94,True,v1.1=60% / v1.5=40%,v1.1=80% / v1.5=20% (downgrade: overheated)
2026-02,2026-02-10,1880.0,1624.6,1298.575,True,15.72,True,v1.1=60% / v1.5=40%,v1.1=80% / v1.5=20% (downgrade: overheated)
