entry_date,entry_price,exit_date,exit_price,pnl,pnl_pct,reason
2023-12-08,570.0,2023-12-21,577.0,3684.210526315789,0.012280701754386003,signal
2024-01-08,583.0,2024-04-16,788.0,106784.32788661189,0.3516295025728988,signal
2024-04-24,783.0,2024-05-30,838.0,28832.400527089427,0.07024265644955308,signal
2024-06-03,846.0,2024-07-18,1005.0,82563.651644755,0.1879432624113475,signal
2024-10-01,972.0,2024-10-28,1050.0,41878.022701247144,0.08024691358024683,signal
2024-11-04,1040.0,2024-11-12,1050.0,5420.6020508271085,0.009615384615384581,signal
2024-11-19,1040.0,2024-12-06,1065.0,13681.808060981883,0.024038461538461453,signal
2024-12-23,1080.0,2025-01-08,1105.0,13491.7829490238,0.02314814814814814,signal
2025-01-14,1090.0,2025-02-03,1070.0,-10941.959749483522,-0.01834862385321101,signal
2025-02-04,1095.0,2025-05-20,978.0,-62549.038403554434,-0.10684931506849316,signal
2025-08-21,1150.0,2025-11-05,1460.0,140941.04394789768,0.26956521739130435,signal
2025-11-17,1445.0,2025-12-09,1480.0,16077.882231806163,0.02422145328719716,signal
2025-12-22,1465.0,2026-02-05,1765.0,139221.44731198318,0.20477815699658697,signal
