entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_cashflow_exit,return_pct,exit_reason
2024-01-08,2024-01-16,33.204094,32.896044,30073,-9263.98765,984935.507234,-0.009277470492625506,trend_break
2024-01-19,2024-04-22,33.241613,37.593694,29587,128765.027944,1107377.160333,0.1309226876403784,trend_break
2024-04-24,2024-07-26,39.107044,44.727625,28276,158927.555425,1259132.585326,0.1437229898002712,trailing_stop_low
2024-11-04,2024-11-26,48.261619,47.438769,26052,-21436.8882,1230435.28196,-0.01704978037024496,trend_break
2024-12-02,2024-12-20,47.948962,48.125925,25624,4534.4871,1227762.135297,0.003690642941440281,trend_break
2025-01-03,2025-01-13,49.0245,48.5757,25008,-11223.5904,1209416.081813,-0.00915460637028409,trend_break
2025-01-16,2025-02-03,49.537256,48.150912,24379,-33797.674281,1168703.099935,-0.027985880828835796,trend_break
2025-02-05,2025-02-14,49.2246,48.47575,23708,-17753.7358,1144200.876037,-0.015212921994287365,trend_break
2025-02-21,2025-02-24,49.512244,49.025475,23076,-11232.675675,1126334.019412,-0.00983128036890868,trend_break
2025-11-20,2025-11-21,61.93095,59.820075,18161,-38335.600875,1081588.394871,-0.03408433101704389,trend_break
2025-11-27,2025-12-16,61.93095,62.218875,17439,5021.124075,1080269.219525,0.0046491293933002,trend_break
