"Strategy","Month","StartEquity","EndEquity","ReturnPct"
"v1.1","2024-02","1000000","1000000","0"
"v1.1","2024-03","1000000","1000000","0"
"v1.1","2024-04","1000000","1000000","0"
"v1.1","2024-05","1000000","1000000","0"
"v1.1","2024-06","1000000","1000000","0"
"v1.1","2024-07","1000000","1000000","0"
"v1.1","2024-08","1000000","1000000","0"
"v1.1","2024-09","1000000","1000000","0"
"v1.1","2024-10","1000000","1000000","0"
"v1.1","2024-11","1000000","1000000","0"
"v1.1","2024-12","1000000","993957.96","-0.6"
"v1.1","2025-01","984717.96","1057608.87","7.4"
"v1.1","2025-02","992685.82","968947.63","-2.39"
"v1.1","2025-03","968947.63","968947.63","0"
"v1.1","2025-04","968947.63","968947.63","0"
"v1.1","2025-05","968947.63","968947.63","0"
"v1.1","2025-06","968947.63","968947.63","0"
"v1.1","2025-07","968947.63","968947.63","0"
"v1.1","2025-08","968947.63","975979.44","0.73"
"v1.1","2025-09","980184.44","1097924.44","12.01"
"v1.1","2025-10","1114744.44","1261919.44","13.2"
"v1.1","2025-11","1270329.44","1163569.49","-8.4"
"v1.1","2025-12","1134288.18","1198379.44","5.65"
"v1.1","2026-01","1225434.44","1372304.44","11.99"
"v1.1","2026-02","1364574.44","1358537.22","-0.44"
"v1.5","2024-02","1000000","1000000","0"
"v1.5","2024-03","1000000","1000000","0"
"v1.5","2024-04","1000000","1000000","0"
"v1.5","2024-05","1000000","1000000","0"
"v1.5","2024-06","1000000","1000000","0"
"v1.5","2024-07","1000000","1000000","0"
"v1.5","2024-08","1000000","1000000","0"
"v1.5","2024-09","1000000","1000000","0"
"v1.5","2024-10","1000000","1000000","0"
"v1.5","2024-11","1000000","1000000","0"
"v1.5","2024-12","1000000","993458.29","-0.65"
"v1.5","2025-01","984218.29","1048898.29","6.57"
"v1.5","2025-02","988838.29","950524.27","-3.87"
"v1.5","2025-03","950524.27","950524.27","0"
"v1.5","2025-04","950524.27","950524.27","0"
"v1.5","2025-05","950524.27","950524.27","0"
"v1.5","2025-06","950524.27","950524.27","0"
"v1.5","2025-07","950524.27","950524.27","0"
"v1.5","2025-08","950524.27","956939.47","0.67"
"v1.5","2025-09","961059.47","1076419.47","12"
"v1.5","2025-10","1092899.47","1237099.47","13.19"
"v1.5","2025-11","1245339.47","1134539.01","-8.9"
"v1.5","2025-12","1105466.34","1167347","5.6"
"v1.5","2026-01","1193702","1336772","11.99"
"v1.5","2026-02","1329242","1415837","6.51"
